"ID","Learning level","Spelling","Synthesis","Phonemic Synthesis","IllustrationFile","AudioFile","IsSimpleWord","IsSightWord","IsPhonicsWord"
"sank","78","sank","s/a/nk","s/ae/ngk","","WordAudio_sank.ogg","Y","N","Y"
"prank","78","prank","pr/a/nk","pr/ae/ngk","","WordAudio_prank.ogg","Y","N","Y"
"plank","78","plank","pl/a/nk","pl/ae/ngk","WordImage_plank.png","WordAudio_plank.ogg","Y","N","Y"
"pink","78","pink","p/i/nk","p/i/ngk","WordImage_pink.png","WordAudio_pink.ogg","Y","N","Y"
"link","78","link","l/i/nk","l/i/ngk","","WordAudio_link.ogg","Y","N","Y"
"ink","78","ink","i/nk","i/ngk","WordImage_ink.png","WordAudio_ink.ogg","Y","N","Y"
"drink","78","drink","dr/i/nk","dr/i/ngk","WordImage_drink.png","WordAudio_drink.ogg","Y","N","Y"
"blank","78","blank","bl/a/nk","bl/ae/ngk","","WordAudio_blank.ogg","Y","N","Y"
"sink","78","sink","s/i/nk","s/i/ngk","WordImage_sink.png","WordAudio_sink.ogg","Y","N","Y"
"bank","78","bank","b/a/nk","b/ae/ngk","WordImage_bank.png","WordAudio_bank.ogg","Y","N","Y"
"wind","77","wind","w/i/nd","w/i/nd","","WordAudio_wind.ogg","Y","N","Y"
"windmill","77","windmill","w/i/nd/m/i/ll","w/i/n/m/i/l","","WordAudio_windmill.ogg","N","N","Y"
"send","77","send","s/e/nd","s/e/nd","","WordAudio_send.ogg","Y","N","Y"
"sand","77","sand","s/a/nd","s/ae/nd","WordImage_sand.png","WordAudio_sand.ogg","Y","N","Y"
"pond","77","pond","p/o/nd","p/o/nd","WordImage_pond.png","WordAudio_pond.ogg","Y","N","Y"
"mend","77","mend","m/e/nd","m/e/nd","","WordAudio_mend.ogg","Y","N","Y"
"lend","77","lend","l/e/nd","l/e/nd","","WordAudio_lend.ogg","Y","N","Y"
"land","77","land","l/a/nd","l/ae/nd","WordImage_land.png","WordAudio_land.ogg","Y","N","Y"
"blink","78","blink","bl/i/nk","bl/i/ngk","","WordAudio_blink.ogg","Y","N","Y"
"rent","79","rent","r/e/nt","r/e/nt","","WordAudio_rent.ogg","Y","N","Y"
"think","78","think","th/i/nk","th/i/ngk","WordImage_think.png","WordAudio_think.ogg","Y","N","Y"
"tank","78","tank","t/a/nk","t/ae/ngk","","WordAudio_tank.ogg","Y","N","Y"
"saint","79","saint","s/ai/nt","s/ei/nt","","WordAudio_saint.ogg","Y","N","Y"
